,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19650210,-1.04,-0.68,-0.83,-1.22,-0.58,-0.95
19650211,-0.87,-0.67,-0.73,-1.32,-1.11,-0.82
19650212,1.11,0.82,1.34,1.11,0.53,0.71
19650215,0.38,0.13,0.4,0.01,0.02,-0.26
19650216,-0.09,0.06,0.09,-0.19,-0.29,-0.53
19650217,0.55,0.38,0.14,0.35,0.02,0.25
19650218,0.61,0.71,0.49,0.26,0.2,0.42
19650219,0.52,0.47,0.42,0.21,0.26,0.07
19650223,0.63,0.84,0.53,0.62,0.6,0.36
19650224,0.42,0.7,0.39,0.73,0.88,0.45
19650225,0.04,0.09,0.04,0.34,-0.09,0.18
19650226,0.07,0.33,0.42,0.19,0.08,0.51
19650301,0.3,-0.08,0.43,-0.37,-0.33,-0.07
19650302,0.39,0.34,0.41,0.31,0.06,0.25
19650303,0.03,0.19,0.64,-0.05,-0.03,-0.09
19650304,-0.2,-0.04,-0.12,-0.58,-0.22,-0.31
19650305,-0.09,-0.1,-0.16,-0.29,-0.2,-0.12
19650308,0.38,0.51,0.33,0.08,-0.06,0.07
19650309,-0.25,-0.16,-0.61,0.03,-0.17,-0.16
19650310,0.19,-0.02,0.01,0,-0.18,-0.09
19650311,0.4,0.51,0.5,0.23,0.28,0.6
19650312,0.42,0.11,0.37,0.21,0.2,0.48
19650315,0.1,0.28,0.14,-0.13,0,0.24
19650316,0.09,-0.1,-0.17,-0.28,0.15,-0.32
19650317,-0.18,0.14,-0.23,0.07,-0.1,-0.21
19650318,-0.19,-0.11,0.04,-0.15,-0.39,-0.16
19650319,0.14,-0.06,-0.22,-0.17,0.11,-0.04
19650322,0.12,-0.03,0.07,-0.16,0.11,-0.12
19650323,-0.15,0.12,0.16,0.28,0.05,0
19650324,0.48,0.21,0.14,0.3,0.17,0.2
19650325,-0.23,0.04,-0.1,-0.33,-0.23,-0.36
19650326,-0.59,-0.77,-0.58,-0.79,-0.37,-1
19650329,-0.55,-0.66,-0.66,-0.36,-0.1,-0.24
19650330,0.33,0.2,0.21,0.68,0.02,0.2
19650331,0.34,0.42,0.09,0.44,-0.14,-0.01
19650401,0.25,0.14,0.31,0.05,0.22,0.2
19650402,0.48,0.42,0.31,0.17,0.18,0.31
19650405,0.03,-0.15,0.08,-0.33,-0.16,0.3
19650406,0.1,-0.08,0.06,0.26,-0.07,-0.04
19650407,0.01,0.34,0.29,0.3,0.01,0.06
19650408,0.91,0.74,0.64,0.63,0.41,0.62
19650409,0.64,0.8,0.49,0.7,0.41,0.73
19650412,0.49,0.52,0.05,0.5,0.45,0.51
19650413,0.41,-0.08,0.37,-0.07,-0.04,0.37
19650414,0.11,0.22,0.37,0.19,0.18,0.24
19650415,0.28,0.41,0.15,-0.01,-0.2,-0.01
19650419,0.38,0.31,0.28,0.58,0.18,0.58
